Game #,Date,Lane,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,10.3,Total,Average,Strikes,Spares,Best Game,259,,Strikes,0,1,2,3,4,5,6,7,8,9,10,11,12
1,"26,08,2017",3,x,,x,,9,0,9,/,8,0,x,,7,/,9,/,x,,x,x,8,200,200.00,6,3,Total strikes,84,,,3,5,4,10,3,3,1,0,1,0,0,0,0
2,"26,08,2017",3,7,/,7,/,x,,x,,8,1,7,/,7,/,9,0,x,,7,2,,166,183.00,3,4,Max Strikes,8,,,,,,,,,,,,,,,
3,"27,08,2017",15,7,/,x,,4,/,0,3,x,,8,1,x,,x,,7,2,5,4,,145,170.33,4,2,Average Strikes,2.8,,Spares,0,1,2,3,4,5,6,7,8,9,10,11,12
4,"27,08,2017",15,8,0,9,/,8,/,9,0,x,,8,0,6,/,9,0,3,5,x,5,1,132,160.75,2,3,STDEV strikes,1.814754345,,,1,1,13,7,6,2,0,0,0,0,0,0,0
5,"27,08,2017",15,9,/,9,/,x,,x,,x,,x,,x,,x,,x,,x,2,6,259,180.40,8,2,Total Spares,82,,,,,,,,,,,,,,,
6,"27,08,2017",5,7,0,8,/,8,1,4,3,1,/,6,/,x,,6,3,8,/,9,0,,133,172.50,1,4,Average Spares,2.733333333,,,,,,,,,,,,,,,
7,"27,08,2017",5,7,/,9,/,8,1,5,3,6,3,x,,x,,7,0,x,,x,x,7,171,172.29,5,2,Average #10,145.8394299,,,,,,,,,,,,,,,
8,"27,08,2017",5,9,/,8,/,6,0,9,0,7,0,x,,8,0,0,9,6,1,x,x,7,125,166.38,3,2,Average #20,146.5936923,,,,,,,,,,,,,,,
9,"27,08,2017",5,9,0,7,0,6,3,5,3,7,2,8,1,9,0,8,0,8,1,6,3,,86,157.44,0,0,Average,155.1665306,,,,,,,,,,,,,,,
10,"28,08,2017",8,2,6,8,0,7,1,9,/,8,1,8,1,7,0,4,/,x,,6,3,,132,154.90,1,2,10th Turkery,0,,,,,,,,,,,,,,,
11,"28,08,2017",8,8,1,8,1,7,/,7,3,x,,8,/,3,6,6,3,7,1,5,1,,120,151.73,1,2,10th Turkery%,0,,,,,,,,,,,,,,,
12,"02,09,2017",7,6,3,6,3,9,/,8,/,6,3,7,2,x,,9,0,x,,9,/,6,134,150.25,2,3,,,,,,,,,,,,,,,,,
13,"02,09,2017",7,x,,7,2,x,,x,,9,/,7,2,8,0,9,/,x,,6,2,,157,150.77,4,2,,,,,,,,,,,,,,,,,
14,"02,09,2017",7,9,0,7,/,8,1,7,1,5,4,x,,x,,8,0,8,/,6,3,,132,149.43,2,2,,,,,,,,,,,,,,,,,
15,"03,09,2017",11,9,0,x,,9,0,x,,6,1,7,1,8,0,9,0,x,,8,/,7,123,147.67,3,1,,,,,,,,,,,,,,,,,
16,"03,09,2017",11,8,0,8,/,6,0,7,0,8,0,3,6,8,1,8,/,7,2,6,0,,95,144.38,0,2,,,,,,,,,,,,,,,,,
17,"03,09,2017",11,5,4,8,/,8,/,x,,3,5,9,0,8,1,9,/,1,/,6,3,,127,143.35,1,4,,,,,,,,,,,,,,,,,
18,"09,09,2017",11,7,/,x,,x,,x,,7,/,2,/,x,,7,/,x,,9,/,5,204,146.72,5,5,,,,,,,,,,,,,,,,,
19,"09,09,2017",11,7,2,x,,x,,9,/,x,,9,0,8,0,8,1,9,0,7,/,5,147,146.74,3,2,,,,,,,,,,,,,,,,,
20,"09,09,2017",11,8,0,3,6,9,/,x,,7,/,7,/,x,,8,1,5,4,x,6,3,150,146.90,3,3,,,,,,,,,,,,,,,,,
21,"10,09,2017",7,8,1,7,2,8,1,9,0,x,,9,0,7,/,6,/,9,/,x,6,4,139,146.52,2,3,,,,,,,,,,,,,,,,,
22,"10,09,2017",7,7,/,6,1,1,7,9,/,7,2,3,2,6,3,8,/,6,0,6,2,,101,144.45,0,3,,,,,,,,,,,,,,,,,
23,"10,09,2017",7,x,,9,/,9,/,8,/,7,0,x,,x,,9,0,5,1,9,/,9,163,145.26,3,4,,,,,,,,,,,,,,,,,
24,"16,09,2017",7,0,/,x,,8,1,7,0,x,,7,/,9,/,9,/,9,0,x,7,2,160,145.88,3,4,,,,,,,,,,,,,,,,,
25,"16,09,2017",7,7,/,4,4,8,0,x,,6,0,x,,8,2,x,,3,4,8,/,8,134,145.40,3,2,,,,,,,,,,,,,,,,,
26,"16,09,2017",7,7,2,x,,9,/,3,5,x,,8,0,7,/,9,0,0,/,x,x,7,151,145.62,4,3,,,,,,,,,,,,,,,,,
27,"17,09,2017",11,x,,x,,7,/,6,0,x,,x,,8,1,9,0,8,0,x,0,/,162,146.22,5,2,,,,,,,,,,,,,,,,,
28,"17,09,2017",11,x,,9,/,x,,9,/,8,1,5,4,9,/,8,/,x,,7,/,9,173,147.18,3,5,,,,,,,,,,,,,,,,,
29,"17,09,2017",11,7,1,x,,8,/,8,0,1,/,9,0,7,/,4,4,3,/,4,4,,126,146.45,1,4,,,,,,,,,,,,,,,,,
30,"17,09,2017",11,9,/,x,,4,3,6,3,4,4,9,/,8,1,x,,x,,6,0,,136,146.10,3,2,,,,,,,,,,,,,,,,,
